k,C_measured,C_HL_prediction
586,0.543948,0.535298
587,0.920168,0.911305
588,1.425908,1.397521
589,0.589806,0.578745
590,2.138158,2.094530
591,0.406650,0.402362
592,0.870091,0.854915
593,1.097655,1.083170
594,0.583924,0.571556
595,2.550797,2.510551
596,0.407950,0.402806
597,1.090090,1.075312
598,1.253130,1.236636
599,0.433990,0.430447
600,1.622233,1.594683
601,0.517886,0.513623
602,1.679534,1.660539
603,0.844562,0.831142
604,0.565811,0.552933
605,1.565528,1.539392
606,0.478186,0.469821
607,1.198130,1.181143
608,0.931526,0.913135
609,0.844498,0.828600
610,1.323494,1.302013
611,0.693733,0.685212
612,1.067651,1.056040
613,0.857134,0.839198
614,0.585608,0.576505
